Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Afghanistan,33,65,1/22/2020,0,0,0
,Afghanistan,33,65,1/23/2020,0,0,0
,Afghanistan,33,65,1/24/2020,0,0,0
,Afghanistan,33,65,1/25/2020,0,0,0
,Afghanistan,33,65,1/26/2020,0,0,0
,Afghanistan,33,65,1/27/2020,0,0,0
,Afghanistan,33,65,1/28/2020,0,0,0
,Afghanistan,33,65,1/29/2020,0,0,0
,Afghanistan,33,65,1/30/2020,0,0,0
,Afghanistan,33,65,1/31/2020,0,0,0
,Afghanistan,33,65,2/1/2020,0,0,0
,Afghanistan,33,65,2/2/2020,0,0,0
,Afghanistan,33,65,2/3/2020,0,0,0
,Afghanistan,33,65,2/4/2020,0,0,0
,Afghanistan,33,65,2/5/2020,0,0,0
,Afghanistan,33,65,2/6/2020,0,0,0
,Afghanistan,33,65,2/7/2020,0,0,0
,Afghanistan,33,65,2/8/2020,0,0,0
,Afghanistan,33,65,2/9/2020,0,0,0
,Afghanistan,33,65,2/10/2020,0,0,0
,Afghanistan,33,65,2/11/2020,0,0,0
,Afghanistan,33,65,2/12/2020,0,0,0
,Afghanistan,33,65,2/13/2020,0,0,0
,Afghanistan,33,65,2/14/2020,0,0,0
,Afghanistan,33,65,2/15/2020,0,0,0
,Afghanistan,33,65,2/16/2020,0,0,0
,Afghanistan,33,65,2/17/2020,0,0,0
,Afghanistan,33,65,2/18/2020,0,0,0
,Afghanistan,33,65,2/19/2020,0,0,0
,Afghanistan,33,65,2/20/2020,0,0,0
,Afghanistan,33,65,2/21/2020,0,0,0
,Afghanistan,33,65,2/22/2020,0,0,0
,Afghanistan,33,65,2/23/2020,0,0,0
,Afghanistan,33,65,2/24/2020,1,0,0
,Afghanistan,33,65,2/25/2020,1,0,0
,Afghanistan,33,65,2/26/2020,1,0,0
,Afghanistan,33,65,2/27/2020,1,0,0
,Afghanistan,33,65,2/28/2020,1,0,0
,Afghanistan,33,65,2/29/2020,1,0,0
,Afghanistan,33,65,3/1/2020,1,0,0
,Afghanistan,33,65,3/2/2020,1,0,0
,Afghanistan,33,65,3/3/2020,1,0,0
,Afghanistan,33,65,3/4/2020,1,0,0
,Afghanistan,33,65,3/5/2020,1,0,0
,Afghanistan,33,65,3/6/2020,1,0,0
,Afghanistan,33,65,3/7/2020,1,0,0
,Afghanistan,33,65,3/8/2020,4,0,0
,Afghanistan,33,65,3/9/2020,4,0,0
,Afghanistan,33,65,3/10/2020,5,0,0
,Afghanistan,33,65,3/11/2020,7,0,0
,Afghanistan,33,65,3/12/2020,7,0,0
,Afghanistan,33,65,3/13/2020,7,0,0
,Afghanistan,33,65,3/14/2020,11,0,0
,Afghanistan,33,65,3/15/2020,16,0,0
,Afghanistan,33,65,3/16/2020,21,0,1
,Afghanistan,33,65,3/17/2020,22,0,1
,Afghanistan,33,65,3/18/2020,22,0,1
,Afghanistan,33,65,3/19/2020,22,0,1
,Afghanistan,33,65,3/20/2020,24,0,1
,Afghanistan,33,65,3/21/2020,24,0,1
,Afghanistan,33,65,3/22/2020,40,1,1
,Afghanistan,33,65,3/23/2020,40,1,1
,Afghanistan,33,65,3/24/2020,74,1,1
,Afghanistan,33,65,3/25/2020,84,2,2
,Afghanistan,33,65,3/26/2020,94,4,2
,Afghanistan,33,65,3/27/2020,110,4,2
,Afghanistan,33,65,3/28/2020,110,4,2
,Afghanistan,33,65,3/29/2020,120,4,2
,Afghanistan,33,65,3/30/2020,170,4,2
,Afghanistan,33,65,3/31/2020,174,4,5
,Afghanistan,33,65,4/1/2020,237,4,5
,Afghanistan,33,65,4/2/2020,273,6,10
,Afghanistan,33,65,4/3/2020,281,6,10
,Afghanistan,33,65,4/4/2020,299,7,10
,Afghanistan,33,65,4/5/2020,349,7,15
,Afghanistan,33,65,4/6/2020,367,11,18
,Afghanistan,33,65,4/7/2020,423,14,18
,Afghanistan,33,65,4/8/2020,444,14,29
,Afghanistan,33,65,4/9/2020,484,15,32
,Afghanistan,33,65,4/10/2020,521,15,32
,Afghanistan,33,65,4/11/2020,555,18,32
,Afghanistan,33,65,4/12/2020,607,18,32
,Afghanistan,33,65,4/13/2020,665,21,32
,Afghanistan,33,65,4/14/2020,714,23,40
,Afghanistan,33,65,4/15/2020,784,25,43
,Afghanistan,33,65,4/16/2020,840,30,54
,Afghanistan,33,65,4/17/2020,906,30,99
,Afghanistan,33,65,4/18/2020,933,30,112
,Afghanistan,33,65,4/19/2020,996,33,131
,Afghanistan,33,65,4/20/2020,1026,36,135
,Afghanistan,33,65,4/21/2020,1092,36,150
,Afghanistan,33,65,4/22/2020,1176,40,166
,Albania,41.1533,20.1683,1/22/2020,0,0,0
,Albania,41.1533,20.1683,1/23/2020,0,0,0
,Albania,41.1533,20.1683,1/24/2020,0,0,0
,Albania,41.1533,20.1683,1/25/2020,0,0,0
,Albania,41.1533,20.1683,1/26/2020,0,0,0
,Albania,41.1533,20.1683,1/27/2020,0,0,0
,Albania,41.1533,20.1683,1/28/2020,0,0,0
,Albania,41.1533,20.1683,1/29/2020,0,0,0
,Albania,41.1533,20.1683,1/30/2020,0,0,0
,Albania,41.1533,20.1683,1/31/2020,0,0,0
,Albania,41.1533,20.1683,2/1/2020,0,0,0
,Albania,41.1533,20.1683,2/2/2020,0,0,0
,Albania,41.1533,20.1683,2/3/2020,0,0,0
,Albania,41.1533,20.1683,2/4/2020,0,0,0
,Albania,41.1533,20.1683,2/5/2020,0,0,0
,Albania,41.1533,20.1683,2/6/2020,0,0,0
,Albania,41.1533,20.1683,2/7/2020,0,0,0
,Albania,41.1533,20.1683,2/8/2020,0,0,0
,Albania,41.1533,20.1683,2/9/2020,0,0,0
,Albania,41.1533,20.1683,2/10/2020,0,0,0
,Albania,41.1533,20.1683,2/11/2020,0,0,0
,Albania,41.1533,20.1683,2/12/2020,0,0,0
,Albania,41.1533,20.1683,2/13/2020,0,0,0
,Albania,41.1533,20.1683,2/14/2020,0,0,0
,Albania,41.1533,20.1683,2/15/2020,0,0,0
,Albania,41.1533,20.1683,2/16/2020,0,0,0
,Albania,41.1533,20.1683,2/17/2020,0,0,0
,Albania,41.1533,20.1683,2/18/2020,0,0,0
,Albania,41.1533,20.1683,2/19/2020,0,0,0
,Albania,41.1533,20.1683,2/20/2020,0,0,0
,Albania,41.1533,20.1683,2/21/2020,0,0,0
,Albania,41.1533,20.1683,2/22/2020,0,0,0
,Albania,41.1533,20.1683,2/23/2020,0,0,0
,Albania,41.1533,20.1683,2/24/2020,0,0,0
,Albania,41.1533,20.1683,2/25/2020,0,0,0
,Albania,41.1533,20.1683,2/26/2020,0,0,0
,Albania,41.1533,20.1683,2/27/2020,0,0,0
,Albania,41.1533,20.1683,2/28/2020,0,0,0
,Albania,41.1533,20.1683,2/29/2020,0,0,0
,Albania,41.1533,20.1683,3/1/2020,0,0,0
,Albania,41.1533,20.1683,3/2/2020,0,0,0
,Albania,41.1533,20.1683,3/3/2020,0,0,0
,Albania,41.1533,20.1683,3/4/2020,0,0,0
,Albania,41.1533,20.1683,3/5/2020,0,0,0
,Albania,41.1533,20.1683,3/6/2020,0,0,0
,Albania,41.1533,20.1683,3/7/2020,0,0,0
,Albania,41.1533,20.1683,3/8/2020,0,0,0
,Albania,41.1533,20.1683,3/9/2020,2,0,0
,Albania,41.1533,20.1683,3/10/2020,10,0,0
,Albania,41.1533,20.1683,3/11/2020,12,1,0
,Albania,41.1533,20.1683,3/12/2020,23,1,0
,Albania,41.1533,20.1683,3/13/2020,33,1,0
,Albania,41.1533,20.1683,3/14/2020,38,1,0
,Albania,41.1533,20.1683,3/15/2020,42,1,0
,Albania,41.1533,20.1683,3/16/2020,51,1,0
,Albania,41.1533,20.1683,3/17/2020,55,1,0
,Albania,41.1533,20.1683,3/18/2020,59,2,0
,Albania,41.1533,20.1683,3/19/2020,64,2,0
,Albania,41.1533,20.1683,3/20/2020,70,2,0
,Albania,41.1533,20.1683,3/21/2020,76,2,2
,Albania,41.1533,20.1683,3/22/2020,89,2,2
,Albania,41.1533,20.1683,3/23/2020,104,4,2
,Albania,41.1533,20.1683,3/24/2020,123,5,10
,Albania,41.1533,20.1683,3/25/2020,146,5,17
,Albania,41.1533,20.1683,3/26/2020,174,6,17
,Albania,41.1533,20.1683,3/27/2020,186,8,31
