Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.170626998,,,,,,,,,,0.199000001,,,,,,,,,,,0.275599986,,,,,,0.309100002,,,0.249799997,,,,,,,,,,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,,,,
Angola,AGO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.061461687,,,,,,,,,,2.720999956,,,,,,,,,,,,,,,,,,,,1.291300058,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.102675915,,,,,,,,,,,,,,,,,,,,4.271699905,4.187099934,4.160699844,4.086200237,4.138999939,4.138800144,4.069699764,3.970000029,3.935499907,4.132100105,4.02489996,3.998699904,4.013400078,3.831399918,3.017100096,3.190000057,3.140000105,3.049999952,3.049999952,3.029999971,3.3,3.3,3.1,3.1,3,3.1,3.1,3.1,,2.8,3,2.6,2.9,2.9,,,,,,
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.180000067,3,3.089999914,3.200000048,3.200000048,2.589999914,,3.299999952,,2.7,2.6,2.6,,2.5,,,,,,,,,,
Arab World,ARB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.927301449,,,,,,,,,,1.91788556,,,,,1.583814194,,,,,,1.707610602,,,,,,,,,1.795581403,,,,,,,,,,1.597911047,1.639466764,1.574799316,1.574062978,1.612329038,1.630261236,1.652517686,1.617113971,1.636057227,1.528853758,1.529522861,1.160223066,1.158382671,1.151899193,1.624523582,,,,,
United Arab Emirates,ARE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,2.849499941,2.875099897,,,,,,,,,2.640000105,,3.060499907,,,,2.640000105,,,,2.4,2.3,2.2,2.2,2.2,2.2,1.9,1.9,1.9,1.9,1.9,1.1,1.1,1.2,,,,,,
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.352250576,,,,,,,,,,5.585800171,,,,,,,,,,,,,,,,,,,,4.594299793,,,4.599999905,,,3.289999962,,,,4.1,,,,,4,,,,,4.5,4.5,4.7,4.9,5,,,,,
Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,8.395400047,8.578399658,8.682800293,8.548100471,8.660099983,8.699199677,9.024200439,8.996600151,9.190400124,9.03579998,9.094799995,8.529299736,8.367699623,8.214699745,7.765999794,7.639999867,7.130000114,6.75,6.659999847,6.199999809,6.4,5,4.3,4.4,4.4,4.5,4.4,4.1,3.8,3.7,3.7,3.7,4,4.1,,4.2,,,,
American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.706421852,,,,,,,,,,6.53000021,,,,,,,,,,,,,,,,,,,,6.599999905,,,6.104800224,,,3.880000114,,,,,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,2.1,,3.9,3.8,,,,,
Australia,AUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,11.19999981,11.30000019,11.39999962,11.69999981,11.80000019,11.89999962,11.80000019,11.80000019,11.80000019,11.69999981,11.69999981,11.60000038,11.80000019,11.80000019,12,11.89999962,11.89999962,12.10000038,12.10000038,12.19999981,12.30000019,12.19999981,12.10000038,11.89999962,11.69999981,10.89999962,,10.5,,9.800000191,,9.199999809,8.899999619,8.899999619,8.699999809,8.699999809,8.5,8.300000191,8.199999809,7.900000095,7.800000191,7.599999905,4,,3.9,4,3.97,,,3.8,3.9,3.8,,,3.8,,,,,
Austria,AUT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,10.80000019,,,,,,,,,,10.80000019,,,,,,,,,,11.19999981,,,,,10.89999962,10.80000019,10.69999981,10.60000038,10.39999962,10.19999981,9.899999619,9.699999809,9.399999619,9.5,9.399999619,9.300000191,9.199999809,9,8.899999619,7.9,7.8,7.8,7.7,7.7,7.7,7.7,7.8,7.7,7.7,7.7,7.7,7.7,7.6,,,,,,
Azerbaijan,AZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,,,,9.745200157,,,,,9.896800041,9.841099739,9.882100105,9.966300011,10.20440006,10.09920025,10.02089977,10.54279995,10.48750019,10.07059956,10.02000046,9.81000042,9.609999657,9.06000042,8.899999619,8.7,8.5,8.4,8.3,8.2,8.2,7.9,7.9,7.7,7.5,5.1,4.6,4.6,4.7,,,,,,
Burundi,BDI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.122407317,,,,,,,,,,1.280599952,,,,,1.123200059,,,,,,,,,,,0.679199994,,,,,0.663100004,,,,,,,,,,,,,,,0.7,,,,,1.9,,,0.8,,,,,
Belgium,BEL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,8.300000191,,,,,,,,,,9.399999619,,,,,9.100000381,,,,,8,7.900000095,7.699999809,7.699999809,7.599999905,,,7.199999809,7.199999809,7.099999905,7.8,7.7,7.6,7.5,7.5,7.4,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.3,6.2,,,,,
Benin,BEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.225748777,,,,,,,,,,1.154899955,,,,,,,,,,1.464900017,1.131199956,,,,0.359600008,,,,,0.833899975,0.500500023,0.223100007,0.239099994,0.233600006,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,
Burkina Faso,BFA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.523758113,,,,,,,,,,0.571500003,,,,,,,,,,,,,,,,,,,0.306400001,0.299299985,,,,,1.299999952,1.419999957,,,,,,,,,,0.9,,,,0.4,,,,,,,,,
