WHO_REGION,ISO_code,Cname,VaccineCode,Vaccine_Desc,Schedule,Entire_Part,Comment
EMR,AFG,Afghanistan,BCG,Bacille_Calmette-Guérin vaccine,birth;,entire,
EMR,AFG,Afghanistan,DTwPHibHepB,Diphtheria Tetanus Pertussis Haemophilus influenzae HepB,"6, 10, 14 weeks;",entire,
EMR,AFG,Afghanistan,HepB_Pediatric,HepB,Birth;,entire,
EMR,AFG,Afghanistan,IPV,Inactivated_polio,14 weeks;,entire,
EMR,AFG,Afghanistan,Measles,Measles,"9, 18 months;",entire,
EMR,AFG,Afghanistan,OPV,polio,"birth; 6, 10, 14 weeks; 9 months;",entire,
EMR,AFG,Afghanistan,Pneumo_conj,Pneumococcal,"6, 10, 14 weeks;",entire,
EMR,AFG,Afghanistan,Rotavirus,Rotavirus,"6, 10 weeks;",,
EMR,AFG,Afghanistan,TT,Tetanus,"1st contact; +1, +6 months; +1, +1 year;",entire,CBAW (15-45 years)
EUR,ALB,Albania,BCG,Bacille_Calmette-Guérin vaccine,birth;,entire,
EUR,ALB,Albania,DT,Tetanus diphtheria childrens,6 years;,entire,
EUR,ALB,Albania,DTwP,Diphtheria tetanus pertussis,2 years;,entire,
EUR,ALB,Albania,DTwPHibHepB,Diphtheria Tetanus Pertussis Haemophilus influenzae HepB,"2, 4, 6 months;",entire,
EUR,ALB,Albania,HepB_Pediatric,HepB,birth;,entire,
EUR,ALB,Albania,Influenza_Adult,Influenza_adult,>14 years;,entire,"and adults with chronic conditions, elderly >60 years with chronic conditions, pregnant women, healthcare workers, other risk groups"
EUR,ALB,Albania,Influenza_Pediatric,Influenza_pediatric,6 months-14 years;,entire,and children with chronic conditions
EUR,ALB,Albania,IPV,Inactivated_polio,"2, 4 months;",entire,
EUR,ALB,Albania,MMR,Measles mumps rubella,"1, 5 years;",entire,
EUR,ALB,Albania,OPV,polio,"6 months; 2, 6 years;",entire,
EUR,ALB,Albania,Pneumo_conj,Pneumococcal,"2, 4, 12 months;",entire,
EUR,ALB,Albania,Rotavirus,Rotavirus,"2, 4, 6, months;",entire,Planned introduction in July 2019
EUR,ALB,Albania,Td,Tetanus diphtheria,"14, 18 years;",entire,
AFR,DZA,Algeria,BCG,Bacille_Calmette-Guérin vaccine,birth;,entire,
AFR,DZA,Algeria,DT,Tetanus diphtheria childrens,6 years;,entire,
AFR,DZA,Algeria,DTaPHibHepBIPV,Hexavalent_diphtheria tetanus acellular_pertussis Hib hepB IPV,"2, 4, 12 months;",entire,from September 2019 - surviving infants in 2018
AFR,DZA,Algeria,DTwPHib,Diphtheria tetanus pertussis Hib,"2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,HepB_Pediatric,HepB,"birth; 2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,Influenza_Adult,Influenza_adult,elderly;,entire,"and with chronic illness, pregnant women, helath care workers, résidents vivant dans les établissements de soins, pèlerins ou autre voyageur, autrs groupes à risque"
AFR,DZA,Algeria,Influenza_Pediatric,Influenza_pediatric,children;,entire,and with chronic illness
AFR,DZA,Algeria,IPV,Inactivated_polio,3 months;,entire,surviving infants in 2018
AFR,DZA,Algeria,MMR,Measles mumps rubella,"11, 18 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,MR,Measles rubella,6 years;,entire,1st year primary school students
AFR,DZA,Algeria,OPV,polio,"birth; 2, 4, 12 months; 6, 11-13 years;",entire,surviving infants in 2018 and 1st year school children
AFR,DZA,Algeria,Pneumo_conj,Pneumococcal,"2, 4, 12 months;",entire,surviving infants in 2018
AFR,DZA,Algeria,Td,Tetanus diphtheria,"11-13, 16-18 years;",entire,
EUR,AND,Andorra,DTaPHibHepBIPV,Hexavalent_diphtheria tetanus acellular_pertussis Hib hepB IPV,"2, 4, 12 months;",,
EUR,AND,Andorra,HPV,HPV,12 years; +6 months;,entire,females only
EUR,AND,Andorra,Influenza_Adult,Influenza_adult,=>65 years;,entire,"and adults with chronic conditions, pregnant women, healthcare workers, residents living in long-term care facilities, other risk groups"
EUR,AND,Andorra,Influenza_Pediatric,Influenza_pediatric,,entire,children with chronic conditions
EUR,AND,Andorra,MenB,Meningococcal_B,"2, 4, 13 months;",entire,
EUR,AND,Andorra,MenC_conj,Meningococcal_C,"4, 15 months; 12 years;",entire,
EUR,AND,Andorra,MMR,Measles mumps rubella,12 months; 3 years;,entire,
EUR,AND,Andorra,Pneumo_conj,Pneumococcal,"3, 5, 13 months;",entire,
EUR,AND,Andorra,TdaPIPV,Tetanus diphtheria pertussis IPV,"5, 15 years;",entire,
EUR,AND,Andorra,Varicella,Varicella,15 months; 3 years;,entire,
AFR,AGO,Angola,BCG,Bacille_Calmette-Guérin vaccine,birth;,entire,0-11 months
AFR,AGO,Angola,DTwPHibHepB,Diphtheria Tetanus Pertussis Haemophilus influenzae HepB,"2, 4, 6 months;",entire,
AFR,AGO,Angola,HepB_Pediatric,HepB,birth;,entire,
AFR,AGO,Angola,IPV,Inactivated_polio,4 months;,entire,
AFR,AGO,Angola,MR,Measles rubella,"9, 15 months;",entire,
AFR,AGO,Angola,OPV,polio,"birth; 2, 4, 6 months;",entire,
AFR,AGO,Angola,Pneumo_conj,Pneumococcal,"2, 4, 6 months;",entire,
AFR,AGO,Angola,Rotavirus,Rotavirus,"2, 4 months;",entire,
AFR,AGO,Angola,Td,Tetanus diphtheria,"1st contact pregnancy; +1, +6 months; +1, +1 years;",entire,
AFR,AGO,Angola,VitaminA,VitaminA,"6, 9 months;",entire,
AFR,AGO,Angola,YF,Yellow_fever,9 months;,entire,
AMR,ATG,Antigua and Barbuda,DT,Tetanus diphtheria childrens,5 years;,entire,
AMR,ATG,Antigua and Barbuda,DTwP,Diphtheria tetanus pertussis,18 months;,entire,
AMR,ATG,Antigua and Barbuda,DTwPHibHepB,Diphtheria Tetanus Pertussis Haemophilus influenzae HepB,"2, 4, 6 months;",entire,
AMR,ATG,Antigua and Barbuda,HepB_Adult,HepB_adult,1st contact; +1 +6 months; +5 years;,entire,high risk groups
AMR,ATG,Antigua and Barbuda,HepB_Pediatric,HepB,1st contact; +1 +6 months;,entire,for unvaccinated children
AMR,ATG,Antigua and Barbuda,HPV,HPV,9-13 years; +6 months;,entire,from July 2018; females and males aged 9-13 years
AMR,ATG,Antigua and Barbuda,Influenza_Adult,Influenza_adult,>18 years;,entire,"and adults with chronic conditions, elderly >60 years, healthcare workers, residents living in long-term care facilities, other risk groups"
AMR,ATG,Antigua and Barbuda,Influenza_Pediatric,Influenza_pediatric,>6 months;,entire,and children with chronic conditions
AMR,ATG,Antigua and Barbuda,IPV,Inactivated_polio,"2, 4 months;",entire,
AMR,ATG,Antigua and Barbuda,MMR,Measles mumps rubella,"12, 18 months;",entire,
AMR,ATG,Antigua and Barbuda,OPV,polio,"6, 18 months, 5 years;",entire,
AMR,ATG,Antigua and Barbuda,Pneumo_conj,Pneumococcal,"2, 4, 6 months;",entire,risk groups
AMR,ATG,Antigua and Barbuda,Pneumo_ps,Pneumococcal,>2 years;,entire,risk groups
AMR,ATG,Antigua and Barbuda,Td,Tetanus diphtheria,1st contact; +6 weeks; +6 months; 15 years;,entire,pregnant women and older persons
AMR,ATG,Antigua and Barbuda,Varicella,Varicella,3-5 years;,entire,
AMR,ATG,Antigua and Barbuda,YF,Yellow_fever,1st contact;,entire,travellers to endemic countries
AMR,ARG,Argentina,BCG,Bacille_Calmette-Guérin vaccine,Birth;,entire,
